epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.791,2.90313,6.54493,1.69992,0.20176,0.58621,0.16377,0.04721,2.19533,8.40091,1.09596,0.00034,0.00034,0.00034
2,276.422,1.80231,1.77465,1.072,0.76763,0.75862,0.79178,0.36594,1.93783,2.49286,1.07413,0.00068614,0.00068614,0.00068614
3,407.58,1.76999,1.42051,1.03408,0.1704,0.64368,0.15548,0.06387,1.85251,13.5021,1.03612,0.00101802,0.00101802,0.00101802
4,540.97,1.70826,1.16975,1.01263,0.828,0.75862,0.77392,0.28899,2.03064,1.31554,1.10414,0.00133565,0.00133565,0.00133565
5,661.222,1.57278,1.13181,0.99912,0.81274,0.7982,0.81497,0.33802,1.85656,1.35068,1.0849,0.00163902,0.00163902,0.00163902
6,777.882,1.66699,1.1416,0.96516,0.7416,0.58621,0.63115,0.23874,2.01551,1.62855,1.09033,0.001802,0.001802,0.001802
7,894.743,1.6508,1.01177,1.00411,0.74508,0.81609,0.78164,0.32332,1.94325,1.708,1.10948,0.0017624,0.0017624,0.0017624
8,1012.44,1.60711,0.9313,1.00049,0.67016,0.79402,0.75038,0.32025,1.96775,1.51188,1.09512,0.0017228,0.0017228,0.0017228
9,1127.85,1.57141,0.89299,0.98325,0.06345,0.50575,0.04728,0.02063,2.11376,5.52029,1.21943,0.0016832,0.0016832,0.0016832
10,1245.3,1.47039,0.87204,0.96504,0.72491,0.86207,0.83872,0.35725,1.88253,1.22206,1.04372,0.0016436,0.0016436,0.0016436
11,1361,1.43351,0.81177,0.92334,0.82071,0.85057,0.82216,0.3946,1.77382,1.14287,1.01324,0.001604,0.001604,0.001604
12,1478.1,1.46858,0.78866,0.97387,0.78636,0.84619,0.81881,0.35221,1.88043,1.10313,1.07506,0.0015644,0.0015644,0.0015644
13,1595.58,1.39217,0.76388,0.94528,0.7899,0.82112,0.84564,0.41032,1.78474,1.13524,1.02967,0.0015248,0.0015248,0.0015248
14,1709.22,1.27926,0.7078,0.90598,0.86209,0.74713,0.81694,0.38878,1.92779,1.15413,1.04478,0.0014852,0.0014852,0.0014852
15,1823.3,1.29095,0.68737,0.90517,0.75745,0.87356,0.85785,0.3988,1.89631,1.11748,1.04763,0.0014456,0.0014456,0.0014456
16,1939.78,1.33035,0.66335,0.92525,0.79276,0.83546,0.83621,0.40401,1.9304,1.10998,1.0804,0.001406,0.001406,0.001406
17,2055.28,1.40082,0.70054,0.92786,0.75534,0.78161,0.77179,0.32796,2.09365,1.19273,1.09326,0.0013664,0.0013664,0.0013664
18,2169.84,1.31865,0.6707,0.91506,0.72501,0.7931,0.77213,0.32462,2.01725,1.2521,1.07136,0.0013268,0.0013268,0.0013268
19,2284.56,1.26627,0.63244,0.89622,0.80061,0.77011,0.81428,0.37478,1.82847,1.18339,1.04486,0.0012872,0.0012872,0.0012872
20,2399.08,1.29939,0.69158,0.93402,0.67817,0.7751,0.72943,0.33452,1.83917,1.22234,1.04399,0.0012476,0.0012476,0.0012476
21,2505.68,1.22356,0.64424,0.89185,0.80544,0.8046,0.8625,0.42466,1.65988,1.01976,0.99756,0.001208,0.001208,0.001208
22,2613.11,1.24924,0.62646,0.91123,0.89125,0.84787,0.90114,0.38715,1.90435,0.94047,1.02716,0.0011684,0.0011684,0.0011684
23,2732.83,1.26658,0.61482,0.87617,0.81632,0.86847,0.89756,0.44396,1.71946,0.97443,0.99854,0.0011288,0.0011288,0.0011288
24,2849.79,1.17586,0.58742,0.88416,0.84259,0.78161,0.82814,0.41776,1.91653,1.00633,1.05876,0.0010892,0.0010892,0.0010892
25,2965.41,1.21048,0.61158,0.89212,0.84421,0.77011,0.82475,0.3974,1.90219,1.04354,1.07175,0.0010496,0.0010496,0.0010496
26,3080.93,1.15122,0.57816,0.85318,0.81601,0.75862,0.83629,0.41276,1.81022,1.07347,1.03857,0.00101,0.00101,0.00101
27,3196.73,1.1949,0.58699,0.88147,0.82178,0.79501,0.86523,0.39165,1.86337,1.09244,1.04102,0.0009704,0.0009704,0.0009704
28,3312.81,1.08491,0.57106,0.86329,0.85162,0.7931,0.8653,0.42568,1.84433,1.04008,1.04027,0.0009308,0.0009308,0.0009308
29,3428.93,1.13744,0.55828,0.87876,0.854,0.8046,0.8737,0.40724,1.98002,1.07353,1.07337,0.0008912,0.0008912,0.0008912
30,3545.38,1.15458,0.56005,0.88218,0.87405,0.79772,0.88025,0.43248,1.89114,1.10224,1.05112,0.0008516,0.0008516,0.0008516
31,3661.48,1.19082,0.55891,0.87391,0.86004,0.77698,0.82203,0.38874,1.95516,1.23689,1.05689,0.000812,0.000812,0.000812
