epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4614,2.83394,4.93272,1.57691,0.00633,0.43678,0.00491,0.00182,1.89904,4.21878,0.99655,0.00034,0.00034,0.00034
2,139.996,1.93662,2.9162,1.08631,0.007,0.48276,0.00646,0.0021,1.9912,3.98314,1.06618,0.00068614,0.00068614,0.00068614
3,205.199,1.88645,2.18469,1.00873,0.01,0.68966,0.0114,0.00538,1.97659,3.76202,1.06806,0.00101802,0.00101802,0.00101802
4,269.939,1.87487,1.93325,1.02252,0.008,0.55172,0.01304,0.00409,2.26561,3.79149,1.15799,0.00133565,0.00133565,0.00133565
5,334.211,1.76287,1.82615,1.04121,0.00917,0.63218,0.1014,0.03756,1.8546,3.59191,1.04568,0.00163902,0.00163902,0.00163902
6,399.497,1.91263,1.81249,1.02477,0.74839,0.18391,0.40318,0.16776,2.13757,3.0175,1.132,0.001802,0.001802,0.001802
7,464.589,1.82868,1.63693,1.04756,0.67792,0.36296,0.47957,0.22538,1.9565,2.40368,1.09787,0.0017624,0.0017624,0.0017624
8,529.142,1.8654,1.69837,1.06804,0.75457,0.63218,0.68939,0.28037,2.167,2.08226,1.14721,0.0017228,0.0017228,0.0017228
9,593.014,1.74586,1.48723,1.02971,0.69224,0.56883,0.59652,0.23447,2.13774,2.18895,1.08611,0.0016832,0.0016832,0.0016832
10,655.561,1.63003,1.51035,1.00356,0.84122,0.7308,0.78946,0.35362,1.95241,1.80581,1.06996,0.0016436,0.0016436,0.0016436
11,714.7,1.63797,1.47318,0.97424,0.84416,0.6849,0.78336,0.33189,1.97952,1.67379,1.07601,0.001604,0.001604,0.001604
12,773.222,1.56969,1.34056,0.99216,0.76449,0.74625,0.78048,0.34505,1.80925,1.5942,1.06895,0.0015644,0.0015644,0.0015644
13,831.888,1.53692,1.30919,0.97488,0.83523,0.75862,0.8162,0.37983,1.80786,1.51153,1.06742,0.0015248,0.0015248,0.0015248
14,895.352,1.48,1.18903,0.94227,0.70855,0.70115,0.71603,0.27428,2.08122,1.64218,1.08516,0.0014852,0.0014852,0.0014852
15,967.388,1.55977,1.28204,0.95502,0.75068,0.79601,0.78909,0.36274,1.84152,1.49119,1.03825,0.0014456,0.0014456,0.0014456
16,1035.26,1.54257,1.19298,0.97548,0.75242,0.71264,0.73852,0.26925,2.11878,1.62662,1.09312,0.001406,0.001406,0.001406
17,1109.02,1.5703,1.25512,0.97187,0.78697,0.84924,0.82949,0.37326,1.81484,1.45077,1.02185,0.0013664,0.0013664,0.0013664
18,1178.16,1.60236,1.18685,0.98242,0.76843,0.7931,0.82473,0.33841,1.83711,1.46441,1.00975,0.0013268,0.0013268,0.0013268
19,1243.64,1.52782,1.09269,0.94415,0.74795,0.72414,0.74551,0.2778,2.03231,1.51457,1.0609,0.0012872,0.0012872,0.0012872
20,1314.83,1.4779,1.17782,0.96737,0.80348,0.75193,0.8563,0.40616,1.71758,1.38372,1.00703,0.0012476,0.0012476,0.0012476
21,1378.17,1.49982,1.12316,0.94133,0.70477,0.72414,0.75002,0.3468,1.75823,1.58226,0.97647,0.001208,0.001208,0.001208
22,1440.53,1.49349,1.11062,0.95408,0.79595,0.83908,0.82757,0.38078,1.77639,1.28211,1.01334,0.0011684,0.0011684,0.0011684
23,1510.97,1.43318,0.98526,0.90197,0.8372,0.82754,0.83693,0.39199,1.71776,1.39111,0.99383,0.0011288,0.0011288,0.0011288
24,1578.3,1.39778,1.06842,0.9217,0.84612,0.82759,0.87109,0.40714,1.66192,1.32615,0.97177,0.0010892,0.0010892,0.0010892
25,1644.52,1.42574,1.0628,0.93058,0.83723,0.85057,0.86764,0.39898,1.77528,1.34412,0.99315,0.0010496,0.0010496,0.0010496
26,1710.11,1.35588,0.98097,0.89349,0.833,0.80269,0.83984,0.41352,1.70665,1.32906,0.98478,0.00101,0.00101,0.00101
27,1776.45,1.36176,0.93298,0.91213,0.79762,0.82759,0.82988,0.3901,1.76391,1.26569,0.99386,0.0009704,0.0009704,0.0009704
28,1840.8,1.21456,0.90529,0.89177,0.80157,0.74713,0.81521,0.38404,1.77683,1.30374,1.01121,0.0009308,0.0009308,0.0009308
29,1905.08,1.30342,0.90805,0.90388,0.76498,0.82759,0.8115,0.39272,1.83377,1.27546,1.03304,0.0008912,0.0008912,0.0008912
30,1970,1.29542,0.88317,0.90651,0.71379,0.75862,0.77691,0.34351,1.90819,1.39389,1.02589,0.0008516,0.0008516,0.0008516
31,2033.94,1.30978,0.88516,0.89615,0.7216,0.74484,0.75592,0.33433,1.97296,1.48781,1.05253,0.000812,0.000812,0.000812
32,2097.55,1.25945,0.86167,0.9201,0.81657,0.71641,0.80519,0.3735,1.87567,1.38305,1.02883,0.0007724,0.0007724,0.0007724
33,2162.44,1.24052,0.82772,0.89452,0.74964,0.74713,0.7607,0.34511,1.91774,1.38794,1.03001,0.0007328,0.0007328,0.0007328
34,2228.41,1.24637,0.81489,0.89415,0.74664,0.81609,0.80795,0.39993,1.80478,1.29725,1.02204,0.0006932,0.0006932,0.0006932
35,2293.98,1.26747,0.82267,0.89534,0.85391,0.75862,0.81369,0.39771,1.80661,1.25349,1.01511,0.0006536,0.0006536,0.0006536
36,2359.96,1.20222,0.83682,0.88849,0.82941,0.72414,0.79918,0.34283,1.89783,1.34591,1.05235,0.000614,0.000614,0.000614
37,2423.93,1.22121,0.84223,0.88467,0.77648,0.75865,0.80901,0.38609,1.76437,1.24814,1.01538,0.0005744,0.0005744,0.0005744
38,2487.89,1.14356,0.79133,0.89009,0.77925,0.78161,0.82369,0.39659,1.78314,1.19388,1.02027,0.0005348,0.0005348,0.0005348
39,2553.26,1.22753,0.78965,0.88211,0.80019,0.82759,0.84525,0.40648,1.76637,1.17873,1.00104,0.0004952,0.0004952,0.0004952
40,2617.38,1.18372,0.75925,0.87327,0.8103,0.83471,0.86396,0.40839,1.67222,1.15824,0.97589,0.0004556,0.0004556,0.0004556
41,2681.48,1.15352,0.78921,0.89451,0.82685,0.83908,0.87273,0.42301,1.65245,1.18448,0.97517,0.000416,0.000416,0.000416
42,2745.64,1.15502,0.78182,0.88102,0.85008,0.78213,0.85726,0.40684,1.7986,1.19366,1.01286,0.0003764,0.0003764,0.0003764
43,2808.16,1.1457,0.74833,0.8871,0.80855,0.81609,0.85602,0.40105,1.78767,1.1789,0.99993,0.0003368,0.0003368,0.0003368
44,2868.73,1.13236,0.7455,0.88136,0.8517,0.79215,0.86407,0.41894,1.70647,1.14477,0.97383,0.0002972,0.0002972,0.0002972
45,2928.71,1.08434,0.72257,0.86871,0.85981,0.81609,0.86054,0.42354,1.71121,1.15413,0.98013,0.0002576,0.0002576,0.0002576
46,2988.94,1.08618,0.72336,0.87665,0.85058,0.81609,0.86083,0.42274,1.74643,1.14279,0.99902,0.000218,0.000218,0.000218
47,3048.21,1.07396,0.72078,0.88479,0.84684,0.8046,0.86023,0.42858,1.77485,1.13054,1.00577,0.0001784,0.0001784,0.0001784
48,3108.59,1.06693,0.71046,0.85843,0.8438,0.80722,0.84858,0.41412,1.79079,1.14074,1.00894,0.0001388,0.0001388,0.0001388
49,3168.37,1.06973,0.68538,0.87276,0.85127,0.81609,0.86067,0.41904,1.80092,1.15522,1.00949,9.92e-05,9.92e-05,9.92e-05
50,3228.24,1.07956,0.70455,0.85889,0.8334,0.81609,0.86648,0.41969,1.79455,1.1489,1.00454,5.96e-05,5.96e-05,5.96e-05
